0,1,2,3,4,5,6,7,8,9,10
2 + 1,85,75,1,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Kartal,"8,200"
1 + 1,75,70,Yüksek Giriş,4,Kombi,4,Eşyalı,Boş,Esenyurt,"6,650"
3 + 1,110,90,2,40,Merkezi,3,Eşyalı Değil,16.000,Kadıköy,"15,500"
2 + 1,170,120,Giriş Katı,25,Kombi,2,Eşyalı Değil,Boş,Sarıyer,"10,000"
2 + 1,100,85,4,30,Kombi,4,Eşyalı,Boş,Beyoğlu,"9,000"
2 + 1,140,120,Ara Kat,1,Merkezi (Pay Ölçer),5,Eşyalı Değil,Boş,Esenyurt,"12,000"
4 + 1,210,200,Teras Katı,16,Kombi,4,Eşyalı Değil,Boş,Bakırköy,"35,000"
2 + 1,130,110,4,4,Merkezi (Pay Ölçer),4,Eşyalı,North İstanbul,Sarıyer,"37,500"
3 + 1,130,125,4,12,Kombi,5,Eşyalı Değil,100,Beşiktaş,"15,500"
2 + 1,90,85,Yüksek Giriş,4,Kombi,4,Eşyalı Değil,Boş,Esenyurt,"6,000"
4 + 1,230,220,Ara Kat,15,Kombi,5,Eşyalı Değil,Boş,Bakırköy,"40,000"
5 + 2,270,250,9,1,Merkezi (Pay Ölçer),9,Eşyalı Değil,Boş,Beylikdüzü,"22,000"
2 + 1,120,110,4,30,Kombi,5,Eşyalı Değil,Boş,Beyoğlu,"37,500"
2 + 1,80,75,Bahçe Katı,Sıfır Bina,Kombi,5,Eşyalı Değil,Boş,Bakırköy,"9,500"
3 + 1,150,135,3,20,Merkezi,5,Eşyalı Değil,Kiracılı,Beşiktaş,"21,250"
4 + 1,180,160,12,40,Merkezi,15,Eşyalı Değil,Boş,Beşiktaş,"20,000"
3 + 1,130,120,5,25,Kombi,7,Eşyalı Değil,Boş,Beşiktaş,"15,000"
2 + 1,140,100,Bahçe Katı,10,Merkezi (Pay Ölçer),1,Eşyalı,Boş,Beşiktaş,"45,000"
3 + 1,190,160,6,5,Kombi,10,Uygun değil,"Güney, Doğu",Başakşehir,"20,000"
3 + 1,195,180,Giriş Katı,5,Kombi,4,Eşyalı,Boş,Beylikdüzü,"25,000"
2 + 1,75,70,9,13,Kombi,10,Eşyalı Değil,Hayır,Küçükçekmece,"7,000"
5 + 1,160,150,2,25,Kombi,2,Eşyalı,Boş,Beykoz,"3,500"
